Company Name ,Stock Price End of July,Market Capitalization,Volume ,Industry Name 
Reliance Industries Ltd.,2998.65,2028893,5134124,
Tata Consultancy Services Ltd.,4283.05,1549645,2811282,
HDFC Bank Ltd.,1659.15,1263856,22059619,
Bharti Airtel Ltd.,1493.8,865068,3335905,
ICICI Bank Ltd.,1196.55,842247,10735395,
State Bank of India,847.85,756673,12609331,
Infosys Ltd.,1821.2,756183,7400938,
Life Insurance Corporation of India,1179.55,746065,3057586,
Hindustan Unilever Ltd.,2692.55,632639,1738872,
ITC Ltd.,489.1,611515,21320064,
Larsen & Toubro Ltd.,3665.7,515445,2512525,
HCL Technologies Ltd.,1609.3,436710,1692851,
Oil And Natural Gas Corporation Ltd.,330.1,423625,22939377,
Bajaj Finance Ltd.,6725,416275,622218,
Sun Pharmaceutical Industries Ltd.,1731.65,415481,2992406,
NTPC Ltd.,419.7,406969,24233263,
Maruti Suzuki India Ltd.,12726.4,400121,1333355,
Tata Motors Ltd.,1096.65,364599,21967812,
Adani Enterprises Ltd.,3160.9,360343,3360209,
Axis Bank Ltd.,1160.85,358833,10581445,
Kotak Mahindra Bank Ltd.,1803.45,358548,3242589,
Adani Ports & Special Economic Zone Ltd.,1588,343030,4313297,
Mahindra & Mahindra Ltd.,2749.65,341927,3041513,
UltraTech Cement Ltd.,11764.5,339638,273420,
Power Grid Corporation of India Ltd.,358.25,333194,13771470,
Coal India Ltd.,524.5,323235,10985150,
Avenue Supermarts Ltd.,4909.7,319490,486355,
Hindustan Aeronautics Ltd.,4695.75,314040,3205399,
Titan Company Ltd.,3462.35,307383,1168195,
Adani Green Energy Ltd.,1881.4,298020,1827128,
Asian Paints Ltd.,3106.7,297994,1348780,
Adani Power Ltd.,726.35,280149,5669123,
Hindustan Zinc Ltd.,651.8,275406,1155061,
Bajaj Auto Ltd.,9616.2,268465,230615,
Wipro Ltd.,502.15,262649,7826114,
Bajaj Finserv Ltd.,1623.45,259210,1105569,
Indian Railway Finance Corporation Ltd.,192.33,251347,41362024,
Indian Oil Corporation Ltd.,177.29,250355,27097002,
Siemens Ltd.,6876.5,244886,443854,
Nestle India Ltd.,2495.1,240567,1155474,
Zomato Ltd.,262.34,231567,389060620,
Bharat Electronics Ltd.,302.95,221450,26155604,
JSW Steel Ltd.,899.55,219981,3306705,
DLF Ltd.,844.45,209028,3305561,
Jio Financial Services Ltd.,326.25,207276,7284359,
Varun Beverages Ltd.,1572.35,204319,1260817,
Tata Steel Ltd.,158.22,197514,72427529,
Trent Ltd.,5538.25,196879,560989,
Grasim Industries Ltd.,2706.8,179731,401105,
SBI Life Insurance Company Ltd.,1744.9,174765,594517,
Power Finance Corporation Ltd.,526.3,173684,11584967,
Vedanta Ltd.,434.2,169802,13093052,
InterGlobe Aviation Ltd.,4312.5,166535,675767,
LTIMindtree Ltd.,5509.9,163188,425166,
REC Ltd.,611.05,160903,12658405,
Ambuja Cements Ltd.,652.8,160793,3552731,
ABB India Ltd.,7578.8,160601,195829,
Pidilite Industries Ltd.,3134.05,159401,156599,
GAIL (India) Ltd.,237.01,155836,14930829,
HDFC Life Insurance Company Ltd.,707.4,152160,2710858,
Bharat Petroleum Corporation Ltd.,347.1,150590,15120989,
Godrej Consumer Products Ltd.,1459.15,149245,1637737,
Tech Mahindra Ltd.,1507.7,147476,2894949,
Tata Power Company Ltd.,460.35,147097,27534299,
Hindalco Industries Ltd.,648.05,145631,6717210,
Adani Energy Solutions Ltd.,1261.8,140753,9602722,
Britannia Industries Ltd.,5720.35,137785,406998,
Divi's Laboratories Ltd.,4991.25,132502,960970,
Punjab National Bank,120.26,132418,29241484,
Samvardhana Motherson International Ltd.,193.25,130954,11712560,
Eicher Motors Ltd.,4726.7,129514,2120560,
JSW Energy Ltd.,722.05,126198,1620560,
Bank of Baroda,243.7,126026,26445597,
Zydus Lifesciences Ltd.,1249.9,125769,1110657,
Cipla Ltd.,1528.8,123459,1353707,
Indian Overseas Bank,65.25,123338,15668574,
Rail Vikas Nigam Ltd.,589.8,122974,11185800,
Macrotech Developers Ltd.,1231.15,122499,1778456,
TVS Motor Company Ltd.,2569.4,122069,907741,
Tata Consumer Products Ltd.,1193.65,118110,1262150,
Cholamandalam Investment & Finance Company Ltd.,1385.1,116382,730113,
Dr. Reddy's Laboratories Ltd.,6964.15,116183,441989,
Havells India Ltd.,1819.5,114068,670205,
Indus Towers Ltd.,421.1,113484,7685638,
Shriram Finance Ltd.,2992.1,112482,1781041,
Vodafone Idea Ltd.,16.12,112356,475279605,
CG Power and Industrial Solutions Ltd.,731.65,111823,2535475,
Dabur India Ltd.,627.55,111221,4123973,
IndusInd Bank Ltd.,1404.3,109356,3268026,
Torrent Pharmaceuticals Ltd.,3228.1,109254,647028,
IDBI Bank Ltd.,100.75,108330,30175986,
Hero MotoCorp Ltd.,5274.2,105448,402666,
ICICI Prudential Life Insurance Company Ltd.,728.6,105058,1512837,
Bharat Heavy Electricals Ltd.,301.65,105036,16899884,
Bajaj Holdings & Investment Ltd.,9434.6,105001,33863,
NHPC Ltd.,103.31,103775,24854216,
GMR Airports Infrastructure Ltd.,98,103478,28298007,
United Spirits Ltd.,1421,103357,1436552,
Mazagon Dock Shipbuilders Ltd.,5095.6,102773,1146391,
Union Bank of India,133.27,101733,8343959,
Polycab India Ltd.,6751.5,101510,285579,
Canara Bank,110.49,100222,27944377,
Bosch Ltd.,33909.75,100012,28189,
Adani Total Gas Ltd.,908.9,99962,2293304,
Oil India Ltd.,606,98572,10032774,
Shree Cements Ltd.,27295.35,98484,39746,
